"","state_abbreviation","county","income","hispanic","white","college","density","female"
"363","FL","Miami-Dade ",43100,66.2,14.8,26.3,1315.5,51.4
"364","FL","Monroe ",53607,22.4,68.6,28,74.3,47.5
"365","FL","Nassau ",55315,3.8,87.2,22.8,113,50.8
"366","FL","Okaloosa ",54684,8.5,74.7,27.4,194.4,49.2
"367","FL","Okeechobee ",34570,25.3,63.6,10.2,52,46.2
"368","FL","Orange ",47581,29.2,43.3,30.1,1268.5,50.9
"369","FL","Osceola ",43891,49.7,36.1,17.6,202.4,51
"370","FL","Palm Beach ",52432,20.7,57.3,32.4,670.2,51.6
"371","FL","Pasco ",43888,13.4,77.4,20.4,622.2,51.4
"372","FL","Pinellas ",45535,8.8,75.4,27.5,3347.5,52.1
"373","FL","Polk ",43113,19.6,62.1,18.1,334.9,51
"374","FL","Putnam ",32497,9.6,71.7,11.4,102.2,50.7
"375","FL","St. Johns ",64876,6.1,84,41.4,316.4,51.3
"376","FL","St. Lucie ",43413,17.6,59.5,19.5,485.7,51.2
"377","FL","Santa Rosa ",57703,5.2,82.8,25.9,149.6,48.9
"378","FL","Sarasota ",49052,8.7,83.7,30.8,682.6,52.2
"379","FL","Seminole ",58175,19.2,63.6,35,1367,51.6
"380","FL","Sumter ",48493,5.6,84.6,25.2,170.8,49.3
"381","FL","Suwannee ",35698,9.1,75.3,9.8,60.3,47.8
"382","FL","Taylor ",36356,4,72.3,11.6,21.6,43.6
"383","FL","Union ",42660,5.3,70.3,10,63.8,35.4
"384","FL","Volusia ",42457,12.2,73.8,20.8,449.2,51.2
"385","FL","Wakulla ",52691,3.8,78.2,17.2,50.8,44.7
"386","FL","Walton ",43640,6.1,84.2,24.1,53,49.1
"387","FL","Washington ",38501,3.5,77.2,11.4,42.7,45.2
"388","GA","Appling ",36786,9.3,69.8,12.8,36,49.9
"389","GA","Atkinson ",30049,23.9,56.9,7.7,24.7,49.6
"390","GA","Bacon ",33757,8,74.1,12.1,42.9,50.8
